ID	ChoiceA	ChoiceB	ChoiceC	ChoiceD
4406	End definition A	Agency definition B	Herself definition C	Station definition D
4407	Him definition A	What definition B	True definition C	Tell definition D
4408	Argue definition A	Suddenly definition B	Charge definition C	Raise definition D
4409	My definition A	Think definition B	Culture definition C	End definition D
4410	Minute definition A	Design definition B	Security definition C	For definition D
4411	Goal definition A	Pay definition B	Most definition C	Act definition D
4412	Blue definition A	Recognize definition B	Perform definition C	Little definition D
4413	Seem definition A	Hour definition B	Perhaps definition C	Whose definition D
4414	Across definition A	Interest definition B	Morning definition C	Tell definition D
4415	True definition A	Both definition B	Value definition C	White definition D
4416	National definition A	North definition B	Player definition C	Drug definition D
4417	Explain definition A	Season definition B	Themselves definition C	Free definition D
4418	Perform definition A	Music definition B	Material definition C	Up definition D
4419	Media definition A	Include definition B	Surface definition C	Fish definition D
4420	Space definition A	Page definition B	Mother definition C	Good definition D
4421	Father definition A	Community definition B	Small definition C	Enjoy definition D
4422	Late definition A	Population definition B	Stop definition C	Laugh definition D
4423	First definition A	Care definition B	Why definition C	Life definition D
4424	Nation definition A	Hospital definition B	Staff definition C	Your definition D
4425	Their definition A	Above definition B	Old definition C	High definition D
4426	Performance definition A	Important definition B	Article definition C	Fund definition D
4427	Decision definition A	Establish definition B	Room definition C	According definition D
4428	Ready definition A	Other definition B	Effort definition C	According definition D
4429	Own definition A	Message definition B	Might definition C	This definition D
4430	Region definition A	Return definition B	Relationship definition C	A definition D
4431	Teacher definition A	Base definition B	Painting definition C	Grow definition D
4432	Under definition A	Short definition B	Dream definition C	Build definition D
4433	Full definition A	Major definition B	Forward definition C	Attention definition D
4434	Scene definition A	Song definition B	Dream definition C	Office definition D
4435	Concern definition A	Evidence definition B	Decision definition C	Rate definition D
4436	Production definition A	Voice definition B	Member definition C	Strategy definition D
4437	Keep definition A	Task definition B	Approach definition C	Upon definition D
4438	Nearly definition A	Light definition B	Fill definition C	Beat definition D
4439	Tend definition A	Big definition B	Process definition C	Them definition D
4440	Establish definition A	Thing definition B	Speech definition C	Evidence definition D
4441	Direction definition A	Unit definition B	Power definition C	Yet definition D
4442	Add definition A	News definition B	Book definition C	Agency definition D
4443	Director definition A	Region definition B	Series definition C	Read definition D
4444	Sport definition A	Order definition B	Wait definition C	Test definition D
4445	Light definition A	Because definition B	Prove definition C	Relationship definition D
4446	Interest definition A	Nothing definition B	Recently definition C	Guess definition D
4447	Tough definition A	Out definition B	Add definition C	Girl definition D
4448	Ok definition A	Ever definition B	Now definition C	Arrive definition D
4449	Cold definition A	Wait definition B	Level definition C	Line definition D
4450	Peace definition A	Myself definition B	After definition C	Call definition D
4451	Sit definition A	Parent definition B	Those definition C	Notice definition D
4452	Stock definition A	Type definition B	Around definition C	Describe definition D
4453	Ability definition A	Important definition B	Way definition C	Million definition D
4454	Product definition A	Eight definition B	Interview definition C	Government definition D
4455	Seek definition A	City definition B	Consider definition C	Page definition D
4456	Young definition A	Capital definition B	Nor definition C	Future definition D
4457	Good definition A	Never definition B	Form definition C	Finish definition D
4458	Set definition A	Follow definition B	Between definition C	Especially definition D
4459	Stage definition A	Write definition B	Mean definition C	Tend definition D
4460	Executive definition A	Magazine definition B	Check definition C	Head definition D
4461	Share definition A	Within definition B	Alone definition C	Military definition D
4462	Character definition A	Where definition B	Magazine definition C	Show definition D
4463	Memory definition A	Hair definition B	Yourself definition C	Seven definition D
4464	Time definition A	None definition B	Again definition C	Name definition D
4465	Large definition A	Performance definition B	It definition C	Cause definition D
4466	Blood definition A	Deal definition B	Loss definition C	Every definition D
4467	This definition A	New definition B	Local definition C	Easy definition D
4468	Should definition A	Population definition B	Power definition C	Meeting definition D
4469	Truth definition A	Cost definition B	Cover definition C	Cut definition D
4470	Particular definition A	Decision definition B	Safe definition C	Attack definition D
4471	Summer definition A	Government definition B	Kitchen definition C	Rich definition D
4472	Central definition A	Protect definition B	Help definition C	Cup definition D
4473	Film definition A	Occur definition B	Win definition C	Shake definition D
4474	Effort definition A	Possible definition B	Institution definition C	Design definition D
4475	Some definition A	Walk definition B	Activity definition C	Personal definition D
4476	Not definition A	Ever definition B	Be definition C	Season definition D
4477	Letter definition A	Live definition B	Option definition C	Among definition D
4478	Less definition A	Present definition B	Enjoy definition C	Serious definition D
4479	Positive definition A	Young definition B	Seem definition C	Girl definition D
4480	Almost definition A	But definition B	Quality definition C	Note definition D
4481	Visit definition A	Vote definition B	Become definition C	Short definition D
4482	Day definition A	Know definition B	Table definition C	Write definition D
4483	Degree definition A	Agent definition B	Firm definition C	Old definition D
4484	Hospital definition A	Low definition B	Design definition C	Serve definition D
4485	Itself definition A	Unit definition B	Social definition C	Price definition D
4486	Behavior definition A	Person definition B	Design definition C	Product definition D
4487	Animal definition A	Professor definition B	Fight definition C	Fear definition D
4488	Particular definition A	Determine definition B	Play definition C	Hotel definition D
4489	Majority definition A	Economic definition B	Million definition C	Opportunity definition D
4490	Event definition A	Sea definition B	Foreign definition C	Reach definition D
4491	City definition A	Congress definition B	Soldier definition C	Serious definition D
4492	Open definition A	Goal definition B	Those definition C	Success definition D
4493	More definition A	Set definition B	Democrat definition C	In definition D
4494	Poor definition A	Language definition B	Possible definition C	Under definition D
4495	Reduce definition A	Worry definition B	Bar definition C	For definition D
4496	Meet definition A	Anyone definition B	Pm definition C	Attack definition D
4497	Little definition A	Position definition B	Process definition C	Approach definition D
4498	Others definition A	Day definition B	Current definition C	Hit definition D
4499	Herself definition A	Standard definition B	Room definition C	Piece definition D
4500	Four definition A	City definition B	Allow definition C	Discussion definition D
4501	Finish definition A	Them definition B	Travel definition C	Surface definition D
4502	Pattern definition A	Put definition B	Rule definition C	Theory definition D
4503	Life definition A	State definition B	Your definition C	Another definition D
4504	Become definition A	Surface definition B	Kind definition C	Contain definition D
4505	Over definition A	Yes definition B	Deep definition C	Writer definition D
4506	Condition definition A	Wind definition B	Industry definition C	Remain definition D
4507	Traditional definition A	Put definition B	Give definition C	Politics definition D
4508	Provide definition A	House definition B	Specific definition C	Hard definition D
4509	Treatment definition A	Factor definition B	Yes definition C	Debate definition D
4510	Walk definition A	State definition B	Himself definition C	Traditional definition D
4511	Enough definition A	Few definition B	More definition C	Across definition D
4512	Health definition A	Difficult definition B	Hot definition C	Pass definition D
4513	Race definition A	Top definition B	Serious definition C	Need definition D
4514	Line definition A	Network definition B	Light definition C	Present definition D
4515	It definition A	Then definition B	House definition C	Teach definition D
4516	Trial definition A	Natural definition B	Local definition C	Than definition D
4517	Environment definition A	Factor definition B	Eye definition C	Most definition D
4518	Republican definition A	Herself definition B	Future definition C	Kind definition D
4519	Three definition A	Hotel definition B	Visit definition C	Former definition D
4520	Price definition A	Lay definition B	Pattern definition C	Mention definition D
4521	Today definition A	Public definition B	Fact definition C	Board definition D
4522	Ok definition A	Major definition B	Star definition C	If definition D
4523	Choose definition A	Establish definition B	Occur definition C	Picture definition D
4524	Quality definition A	Trouble definition B	I definition C	Similar definition D
4525	Boy definition A	Much definition B	Whether definition C	Send definition D
4526	Heart definition A	Also definition B	Blue definition C	Conference definition D
4527	Still definition A	Paper definition B	Fire definition C	Skill definition D
4528	Always definition A	I definition B	Run definition C	Road definition D
4529	Section definition A	Hope definition B	Gun definition C	Force definition D
4530	Certain definition A	Style definition B	Training definition C	Ok definition D
4531	Practice definition A	Sport definition B	Attention definition C	Over definition D
4532	Hotel definition A	Itself definition B	Federal definition C	Off definition D
4533	Force definition A	Must definition B	Spend definition C	Think definition D
4534	Economy definition A	Traditional definition B	Fly definition C	Case definition D
4535	Detail definition A	Represent definition B	Process definition C	General definition D
4536	Guess definition A	Remember definition B	Summer definition C	Cell definition D
4537	Black definition A	Environmental definition B	Approach definition C	Here definition D
4538	Course definition A	Design definition B	Reason definition C	Game definition D
4539	Thus definition A	Could definition B	Resource definition C	Simply definition D
4540	Top definition A	Edge definition B	Across definition C	Step definition D
4541	Thing definition A	Organization definition B	Notice definition C	Common definition D
4542	The definition A	Them definition B	Rest definition C	This definition D
4543	Prepare definition A	Subject definition B	Occur definition C	According definition D
4544	In definition A	Fast definition B	Continue definition C	World definition D
4545	Suddenly definition A	Beyond definition B	Every definition C	Sell definition D
4546	Manager definition A	Yet definition B	Church definition C	Of definition D
4547	But definition A	Loss definition B	Develop definition C	General definition D
4548	American definition A	City definition B	Drive definition C	Adult definition D
4549	Material definition A	A definition B	Magazine definition C	Young definition D
4550	Themselves definition A	Up definition B	Response definition C	Tell definition D
4551	Surface definition A	Price definition B	Care definition C	Respond definition D
4552	Operation definition A	Congress definition B	Growth definition C	Television definition D
4553	World definition A	Send definition B	Difference definition C	Nature definition D
4554	Prevent definition A	Wear definition B	Low definition C	Which definition D
4555	Pm definition A	Only definition B	Hundred definition C	Center definition D
4556	Direction definition A	Clear definition B	Science definition C	Policy definition D
4557	Identify definition A	House definition B	Popular definition C	Cut definition D
4558	Food definition A	Question definition B	Show definition C	Consider definition D
4559	Save definition A	Call definition B	Artist definition C	Really definition D
4560	Enter definition A	Eat definition B	Same definition C	Although definition D
4561	Interest definition A	Best definition B	White definition C	Out definition D
4562	Attack definition A	Perform definition B	Adult definition C	Thousand definition D
4563	Agent definition A	Into definition B	Open definition C	Manage definition D
4564	Open definition A	Often definition B	Thousand definition C	His definition D
4565	Until definition A	Television definition B	Base definition C	Weight definition D
4566	Certain definition A	Miss definition B	Talk definition C	Commercial definition D
4567	Natural definition A	After definition B	Responsibility definition C	Develop definition D
4568	If definition A	Those definition B	Pick definition C	Up definition D
4569	Into definition A	News definition B	Pull definition C	Country definition D
4570	Industry definition A	Let definition B	Hospital definition C	Second definition D
4571	Whatever definition A	Provide definition B	Point definition C	Win definition D
4572	Growth definition A	Threat definition B	Discuss definition C	Threat definition D
4573	Mind definition A	Because definition B	Morning definition C	Indicate definition D
4574	Onto definition A	At definition B	Play definition C	Message definition D
4575	Save definition A	Among definition B	Loss definition C	Job definition D
4576	Sing definition A	Share definition B	Large definition C	Drug definition D
4577	Water definition A	Series definition B	Certainly definition C	Several definition D
4578	Worry definition A	Character definition B	Visit definition C	Director definition D
4579	Degree definition A	Wish definition B	South definition C	Claim definition D
4580	Election definition A	Reflect definition B	Put definition C	Recent definition D
4581	Style definition A	Whether definition B	Natural definition C	Gas definition D
4582	While definition A	Industry definition B	Card definition C	To definition D
4583	Upon definition A	Car definition B	Arm definition C	Theory definition D
4584	Address definition A	Low definition B	Understand definition C	Article definition D
4585	Be definition A	Avoid definition B	Try definition C	May definition D
4586	Plan definition A	The definition B	Idea definition C	Shake definition D
4587	At definition A	Mission definition B	Firm definition C	On definition D
4588	By definition A	Country definition B	Condition definition C	Research definition D
4589	Small definition A	Believe definition B	Need definition C	Mother definition D
4590	Space definition A	Control definition B	Student definition C	They definition D
4591	Deal definition A	Reason definition B	Color definition C	Sign definition D
4592	Spend definition A	Score definition B	Imagine definition C	Final definition D
4593	Man definition A	Share definition B	But definition C	Value definition D
4594	World definition A	American definition B	Administration definition C	Ability definition D
4595	No definition A	Between definition B	Would definition C	Act definition D
4596	Just definition A	Whom definition B	Official definition C	Add definition D
4597	Discuss definition A	Suddenly definition B	Tend definition C	Yet definition D
4598	Without definition A	Military definition B	Reality definition C	Make definition D
4599	Human definition A	Measure definition B	Station definition C	Possible definition D
4600	Safe definition A	Sure definition B	Final definition C	Thousand definition D
4601	So definition A	Mouth definition B	May definition C	But definition D
4602	Star definition A	Teacher definition B	Realize definition C	Ahead definition D
4603	Their definition A	Travel definition B	Time definition C	Lot definition D
4604	Ball definition A	Identify definition B	Social definition C	Whether definition D
4605	School definition A	Artist definition B	Specific definition C	Drop definition D
4606	House definition A	Play definition B	Name definition C	Practice definition D
4607	Serve definition A	Enough definition B	Television definition C	Sound definition D
4608	Million definition A	Board definition B	Cause definition C	Actually definition D
4609	Like definition A	Figure definition B	Industry definition C	Fill definition D
4610	Industry definition A	Either definition B	Ok definition C	Myself definition D
4611	Foot definition A	Suddenly definition B	Sort definition C	Draw definition D
4612	Plant definition A	Such definition B	Budget definition C	Finish definition D
4613	Everybody definition A	Money definition B	Play definition C	Lose definition D
4614	Growth definition A	Agent definition B	Anything definition C	Series definition D
4615	Stop definition A	Over definition B	Matter definition C	Will definition D
4616	Discussion definition A	Explain definition B	Participant definition C	Art definition D
4617	Early definition A	Fire definition B	Know definition C	Development definition D
4618	Process definition A	Mr definition B	Traditional definition C	Class definition D
4619	Six definition A	Imagine definition B	Listen definition C	Just definition D
4620	Manager definition A	Spring definition B	Idea definition C	Debate definition D
4621	Treat definition A	Foot definition B	Way definition C	Much definition D
4622	Will definition A	Manager definition B	Fish definition C	Develop definition D
4623	Health definition A	Six definition B	Early definition C	Training definition D
4624	War definition A	Key definition B	Not definition C	Prevent definition D
4625	That definition A	Mission definition B	Imagine definition C	Anything definition D
4626	Officer definition A	Citizen definition B	Join definition C	Something definition D
4627	Everything definition A	You definition B	Unit definition C	Clearly definition D
4628	Pretty definition A	Sit definition B	Main definition C	Their definition D
4629	Go definition A	Purpose definition B	Why definition C	General definition D
4630	Enter definition A	Area definition B	Republican definition C	Ahead definition D
4631	Stuff definition A	Effort definition B	Street definition C	Because definition D
4632	Lawyer definition A	Space definition B	Mean definition C	Character definition D
4633	Your definition A	Name definition B	Line definition C	Tell definition D
4634	Drop definition A	Human definition B	Wish definition C	Man definition D
4635	Pretty definition A	Even definition B	Deep definition C	Suddenly definition D
4636	Raise definition A	Pressure definition B	Control definition C	Including definition D
4637	Response definition A	Several definition B	Hold definition C	Technology definition D
4638	Field definition A	Ground definition B	Produce definition C	Scientist definition D
4639	Clearly definition A	Consumer definition B	Majority definition C	Small definition D
4640	Avoid definition A	Group definition B	Opportunity definition C	Pass definition D
4641	Democrat definition A	House definition B	Send definition C	Off definition D
4642	Civil definition A	Before definition B	Room definition C	Too definition D
4643	Recognize definition A	Public definition B	Decision definition C	Last definition D
4644	Himself definition A	Pm definition B	Around definition C	Value definition D
4645	Forget definition A	Parent definition B	South definition C	Nature definition D
4646	Major definition A	Personal definition B	Start definition C	Speak definition D
4647	All definition A	Civil definition B	Yard definition C	No definition D
4648	Career definition A	Upon definition B	Market definition C	Stock definition D
4649	Identify definition A	Radio definition B	Attack definition C	Read definition D
4650	Us definition A	Natural definition B	Prepare definition C	On definition D
4651	Put definition A	Old definition B	Technology definition C	Son definition D
4652	Professor definition A	Road definition B	Candidate definition C	Contain definition D
4653	Final definition A	Model definition B	On definition C	Half definition D
4654	Produce definition A	Buy definition B	Lawyer definition C	Feeling definition D
4655	Institution definition A	Set definition B	Us definition C	Investment definition D
4656	Road definition A	Decade definition B	Music definition C	Simple definition D
4657	Right definition A	Star definition B	Throughout definition C	Recent definition D
4658	Character definition A	Position definition B	Real definition C	Stuff definition D
4659	Performance definition A	Ten definition B	Push definition C	Environmental definition D
4660	Finish definition A	Network definition B	Account definition C	Hard definition D
4661	Machine definition A	Easy definition B	Tough definition C	Lead definition D
4662	Each definition A	Letter definition B	Each definition C	Address definition D
4663	Model definition A	Huge definition B	Firm definition C	Area definition D
4664	Someone definition A	Past definition B	Case definition C	Available definition D
4665	Trial definition A	Newspaper definition B	Bed definition C	Training definition D
4666	Wife definition A	Stuff definition B	Responsibility definition C	Myself definition D
4667	And definition A	Consumer definition B	A definition C	Become definition D
4668	Like definition A	Question definition B	Issue definition C	Owner definition D
4669	Notice definition A	Process definition B	Attorney definition C	Water definition D
4670	Science definition A	Race definition B	Crime definition C	Process definition D
4671	Century definition A	Never definition B	Themselves definition C	Continue definition D
4672	Evidence definition A	Night definition B	Enter definition C	Debate definition D
4673	On definition A	Stuff definition B	Wind definition C	Red definition D
4674	Oil definition A	Key definition B	Specific definition C	Bar definition D
4675	People definition A	Leader definition B	Vote definition C	Stop definition D
4676	Page definition A	Establish definition B	Once definition C	Officer definition D
4677	Least definition A	Order definition B	Year definition C	Fine definition D
4678	Hour definition A	Wait definition B	Us definition C	Stock definition D
4679	Stage definition A	Treatment definition B	Operation definition C	Five definition D
4680	Expert definition A	May definition B	Room definition C	Drop definition D
4681	Million definition A	Everything definition B	Standard definition C	Education definition D
4682	Else definition A	Choice definition B	Agency definition C	Call definition D
4683	Control definition A	Forget definition B	Tough definition C	Necessary definition D
4684	Different definition A	Film definition B	First definition C	Food definition D
4685	Couple definition A	Explain definition B	Perform definition C	Apply definition D
4686	You definition A	Soldier definition B	Popular definition C	Our definition D
4687	Within definition A	Generation definition B	Reveal definition C	Discussion definition D
4688	Health definition A	Author definition B	Point definition C	Race definition D
4689	Might definition A	Show definition B	Rock definition C	Character definition D
4690	Take definition A	Instead definition B	Much definition C	Nation definition D
4691	Minute definition A	Can definition B	Effort definition C	Society definition D
4692	Machine definition A	Affect definition B	Player definition C	Work definition D
4693	Even definition A	Just definition B	First definition C	Probably definition D
4694	Organization definition A	Kind definition B	On definition C	President definition D
4695	Carry definition A	Call definition B	Personal definition C	Teacher definition D
4696	Better definition A	Difference definition B	Expect definition C	Street definition D
4697	Anything definition A	I definition B	With definition C	Say definition D
4698	Pay definition A	Off definition B	Stop definition C	Authority definition D
4699	Grow definition A	Or definition B	Road definition C	Single definition D
4700	Fight definition A	Expect definition B	Stock definition C	City definition D
4701	Administration definition A	Enough definition B	Note definition C	Son definition D
4702	Growth definition A	Sign definition B	Sing definition C	Us definition D
4703	Pay definition A	Campaign definition B	Edge definition C	Information definition D
4704	Especially definition A	Forget definition B	Operation definition C	Health definition D
4705	Buy definition A	Window definition B	Tv definition C	Nothing definition D
4706	Range definition A	Number definition B	Without definition C	Sit definition D
4707	Young definition A	Standard definition B	Research definition C	With definition D
4708	Tax definition A	Environment definition B	Think definition C	Become definition D
4709	Prove definition A	Professor definition B	Easy definition C	Stop definition D
4710	Country definition A	Once definition B	Yourself definition C	Sound definition D
4711	Cold definition A	Where definition B	Dream definition C	Size definition D
4712	Least definition A	Interesting definition B	Ground definition C	Themselves definition D
4713	Including definition A	Face definition B	Other definition C	Important definition D
4714	Investment definition A	Tend definition B	Energy definition C	Light definition D
4715	Painting definition A	Beat definition B	Way definition C	Participant definition D
4716	Another definition A	Our definition B	Experience definition C	Network definition D
4717	Summer definition A	Paper definition B	Computer definition C	Music definition D
4718	Guess definition A	Tax definition B	Recently definition C	Sit definition D
4719	Ahead definition A	Realize definition B	Reason definition C	Value definition D
4720	Five definition A	Section definition B	Back definition C	Court definition D
4721	Democrat definition A	Officer definition B	Professor definition C	By definition D
4722	Race definition A	Cut definition B	Whole definition C	Serve definition D
4723	Defense definition A	Street definition B	Ten definition C	Least definition D
4724	After definition A	Base definition B	Ball definition C	Worker definition D
4725	Value definition A	Contain definition B	Agency definition C	Research definition D
4726	Record definition A	Skin definition B	Stop definition C	Owner definition D
4727	Begin definition A	Cell definition B	Keep definition C	View definition D
4728	Pretty definition A	Single definition B	Our definition C	Tell definition D
4729	Ability definition A	Character definition B	Meet definition C	Impact definition D
4730	Two definition A	Positive definition B	Every definition C	Now definition D
4731	Parent definition A	Be definition B	Focus definition C	Small definition D
4732	Officer definition A	Week definition B	Spring definition C	Star definition D
4733	Why definition A	Election definition B	Clearly definition C	You definition D
4734	Accept definition A	Energy definition B	Professor definition C	Congress definition D
4735	Human definition A	Friend definition B	Themselves definition C	Nor definition D
4736	Any definition A	Ever definition B	Color definition C	Purpose definition D
4737	Many definition A	Military definition B	Through definition C	That definition D
4738	Ever definition A	Since definition B	Through definition C	Tv definition D
4739	Else definition A	Police definition B	Pay definition C	List definition D
4740	Market definition A	Resource definition B	Character definition C	Political definition D
4741	Individual definition A	Other definition B	Space definition C	Guess definition D
4742	Analysis definition A	Kitchen definition B	Back definition C	Less definition D
4743	Movie definition A	Kind definition B	Lawyer definition C	Law definition D
4744	Everybody definition A	Reveal definition B	Series definition C	Chair definition D
4745	Many definition A	Reality definition B	Focus definition C	Nature definition D
4746	Step definition A	Treatment definition B	Any definition C	During definition D
4747	Democrat definition A	Hair definition B	Race definition C	Issue definition D
4748	Here definition A	Much definition B	Ask definition C	Own definition D
4749	Knowledge definition A	Soldier definition B	Second definition C	Reduce definition D
4750	Tonight definition A	Sit definition B	Discuss definition C	State definition D
4751	Responsibility definition A	Throw definition B	Meet definition C	Thought definition D
4752	Yes definition A	Mother definition B	Two definition C	The definition D
4753	Appear definition A	Improve definition B	Sense definition C	Across definition D
4754	Article definition A	Yourself definition B	Note definition C	This definition D
4755	Leave definition A	Until definition B	Young definition C	True definition D
4756	President definition A	Night definition B	Bag definition C	Town definition D
4757	Thing definition A	Decade definition B	Everybody definition C	Meeting definition D
4758	Ever definition A	With definition B	Within definition C	South definition D
4759	Movie definition A	Relationship definition B	Protect definition C	Machine definition D
4760	Pay definition A	Course definition B	Control definition C	Work definition D
4761	Top definition A	Far definition B	Value definition C	Southern definition D
4762	Plan definition A	Yard definition B	Song definition C	Language definition D
4763	Audience definition A	During definition B	Range definition C	Eight definition D
4764	Theory definition A	Foreign definition B	Rest definition C	Tend definition D
4765	Main definition A	Manage definition B	Employee definition C	Physical definition D
4766	New definition A	Home definition B	Voice definition C	Enjoy definition D
4767	Key definition A	Fear definition B	Million definition C	Suffer definition D
4768	Matter definition A	Money definition B	Shoulder definition C	Dinner definition D
4769	Book definition A	Notice definition B	Remember definition C	Accept definition D
4770	Value definition A	Answer definition B	Simply definition C	Property definition D
4771	Camera definition A	Despite definition B	Remember definition C	Coach definition D
4772	Ok definition A	At definition B	New definition C	Dream definition D
4773	Card definition A	Measure definition B	Stage definition C	Catch definition D
4774	Task definition A	West definition B	Throughout definition C	Allow definition D
4775	Fight definition A	Foreign definition B	Part definition C	Section definition D
4776	Spend definition A	Property definition B	Reflect definition C	Property definition D
4777	Able definition A	Smile definition B	Free definition C	Town definition D
4778	Model definition A	Allow definition B	Mission definition C	Something definition D
4779	Many definition A	Natural definition B	Different definition C	Between definition D
4780	Policy definition A	Strong definition B	Doctor definition C	Spend definition D
4781	Girl definition A	Inside definition B	View definition C	State definition D
4782	Available definition A	Available definition B	Tax definition C	Down definition D
4783	Should definition A	Church definition B	Might definition C	Body definition D
4784	Traditional definition A	Ahead definition B	Military definition C	Social definition D
4785	Student definition A	On definition B	Truth definition C	Skin definition D
4786	Successful definition A	Fine definition B	This definition C	Risk definition D
4787	Light definition A	Against definition B	Beat definition C	Prove definition D
4788	Level definition A	Again definition B	Pressure definition C	No definition D
4789	Tax definition A	Tend definition B	Group definition C	Green definition D
4790	Book definition A	Player definition B	May definition C	Cup definition D
4791	Under definition A	Stuff definition B	Discussion definition C	Author definition D
4792	Politics definition A	Executive definition B	Forward definition C	Activity definition D
4793	More definition A	Personal definition B	Brother definition C	Yes definition D
4794	Best definition A	Create definition B	What definition C	Great definition D
4795	As definition A	Weight definition B	Century definition C	Along definition D
4796	Nice definition A	Smile definition B	Able definition C	Wrong definition D
4797	Information definition A	Chair definition B	Reflect definition C	Computer definition D
4798	Former definition A	Spring definition B	Unit definition C	Seem definition D
4799	Recent definition A	Line definition B	Across definition C	Dream definition D
4800	Decade definition A	Smile definition B	Want definition C	Need definition D
4801	Build definition A	Decision definition B	Laugh definition C	Case definition D
4802	Direction definition A	Activity definition B	Easy definition C	Firm definition D
4803	Remain definition A	Military definition B	Will definition C	Southern definition D
4804	Admit definition A	Source definition B	Despite definition C	Probably definition D
4805	Job definition A	For definition B	Meet definition C	Which definition D
4806	Stage definition A	Its definition B	Nearly definition C	Security definition D
4807	Sign definition A	Chance definition B	Season definition C	Produce definition D
4808	Those definition A	Difference definition B	Hundred definition C	Great definition D
4809	Peace definition A	And definition B	Note definition C	Art definition D
4810	Free definition A	Yourself definition B	Job definition C	Computer definition D
4811	Opportunity definition A	Meet definition B	Light definition C	Apply definition D
4812	Public definition A	Teacher definition B	Around definition C	Open definition D
4813	Media definition A	Debate definition B	Fight definition C	Past definition D
4814	Whole definition A	Military definition B	Sea definition C	No definition D
4815	Thousand definition A	Customer definition B	Lead definition C	Other definition D
4816	Pressure definition A	Fish definition B	Beyond definition C	Nearly definition D
4817	Little definition A	Teach definition B	Newspaper definition C	Catch definition D
4818	Member definition A	Ever definition B	Become definition C	Tend definition D
4819	Environment definition A	Share definition B	Interest definition C	All definition D
4820	Firm definition A	Investment definition B	Suggest definition C	Their definition D
4821	Exist definition A	Heavy definition B	Decade definition C	Usually definition D
4822	Since definition A	Authority definition B	Position definition C	Reduce definition D
4823	Organization definition A	Degree definition B	Help definition C	Defense definition D
4824	Increase definition A	Agreement definition B	Everybody definition C	Enter definition D
4825	Pretty definition A	Short definition B	Everybody definition C	Message definition D
4826	Admit definition A	Main definition B	Rich definition C	Court definition D
4827	Often definition A	Of definition B	Over definition C	Just definition D
4828	Movie definition A	Opportunity definition B	Dark definition C	Matter definition D
4829	Case definition A	To definition B	Possible definition C	Develop definition D
4830	Eye definition A	Even definition B	Civil definition C	Culture definition D
4831	Animal definition A	Second definition B	Star definition C	Analysis definition D
4832	Despite definition A	Service definition B	Compare definition C	Produce definition D
4833	Tend definition A	Wrong definition B	Magazine definition C	Represent definition D
4834	Us definition A	Foot definition B	Material definition C	Do definition D
4835	List definition A	After definition B	Improve definition C	Officer definition D
4836	Easy definition A	Seven definition B	Nature definition C	Mission definition D
4837	Suddenly definition A	Measure definition B	Current definition C	Later definition D
4838	Kitchen definition A	Different definition B	Campaign definition C	Situation definition D
4839	Learn definition A	Event definition B	Dream definition C	Mission definition D
4840	Region definition A	Buy definition B	Left definition C	Fire definition D
4841	Prevent definition A	Same definition B	Campaign definition C	Side definition D
4842	Tax definition A	Health definition B	Fine definition C	Effort definition D
4843	Share definition A	Coach definition B	Hard definition C	Over definition D
4844	Support definition A	Expect definition B	Evidence definition C	Easy definition D
4845	My definition A	Here definition B	World definition C	Wife definition D
4846	Itself definition A	Forward definition B	Big definition C	After definition D
4847	Hot definition A	Property definition B	Also definition C	Land definition D
4848	Outside definition A	Cell definition B	Interest definition C	Name definition D
4849	Use definition A	Thank definition B	Cut definition C	Short definition D
4850	Their definition A	Single definition B	Either definition C	Management definition D
4851	Show definition A	Maybe definition B	I definition C	Both definition D
4852	Require definition A	Song definition B	Anyone definition C	Conference definition D
4853	Sign definition A	More definition B	Long definition C	Discover definition D
4854	Yes definition A	Audience definition B	Fear definition C	Data definition D
4855	Pressure definition A	Power definition B	Role definition C	Life definition D
4856	Region definition A	Choice definition B	Yes definition C	Fight definition D
4857	Way definition A	Kitchen definition B	Keep definition C	Help definition D
4858	Factor definition A	Body definition B	Instead definition C	Although definition D
4859	Camera definition A	First definition B	Nice definition C	Success definition D
4860	Important definition A	Particular definition B	Threat definition C	Season definition D
4861	Have definition A	Father definition B	Fill definition C	Play definition D
4862	Hotel definition A	Forget definition B	Community definition C	Cause definition D
4863	Middle definition A	Police definition B	Writer definition C	Local definition D
4864	Go definition A	Ground definition B	Father definition C	Bill definition D
4865	What definition A	Themselves definition B	Wonder definition C	Today definition D
4866	Trial definition A	Performance definition B	Management definition C	Recent definition D
4867	Property definition A	Player definition B	Mr definition C	Fire definition D
4868	Local definition A	Create definition B	Least definition C	Here definition D
4869	Tv definition A	Tax definition B	Partner definition C	Wonder definition D
4870	Child definition A	Necessary definition B	Senior definition C	Foot definition D
4871	Ago definition A	Share definition B	House definition C	Suggest definition D
4872	Certainly definition A	Administration definition B	Dog definition C	Bring definition D
4873	Help definition A	Ok definition B	War definition C	Along definition D
4874	Nation definition A	Improve definition B	Audience definition C	Hotel definition D
4875	Whether definition A	Station definition B	Develop definition C	Make definition D
4876	Prove definition A	Then definition B	Avoid definition C	Through definition D
4877	Class definition A	Collection definition B	Significant definition C	Important definition D
4878	A definition A	Late definition B	Loss definition C	Understand definition D
4879	A definition A	Measure definition B	Team definition C	Piece definition D
4880	Woman definition A	Part definition B	End definition C	Detail definition D
4881	Much definition A	Manager definition B	Season definition C	Cultural definition D
